years_after_2002,region,walk,walk_1_mile_plus,bicycle,car_driver,car_passenger,motorcycle,other_private_transport,bus_in_london,other_local_bus,non_local_bus,london_underground,surface_rail,taxi,other_public_transport,all_modes,all_modes_excl_short_walk,wnweighted_sample,year
1,North East,363.9774116579128,193.14851346550992,38.15065896140922,4800.535529654588,3003.4762281990966,67.78459628423863,274.69492413814237,1.7105832605301385,613.0721984952091,100.98439773375982,35.410584401824394,450.61836599248505,124.19862790533055,123.23638227041378,9997.850488954933,9827.02159076254,2659.7200000000003,2003
1,North West,327.29932778047146,191.07827208936445,59.97301138021511,5385.432164253816,3129.7549158151865,43.324147908328094,209.26806853813554,1.8180137421662366,463.7664363803098,179.26691213896046,5.024225893241745,482.62014612452975,104.39313949314563,95.27622279518472,10487.21673224369,10350.995676552591,6969.6900000000005,2003
1,Yorkshire and The Humber,329.5963010658909,197.94758046258337,45.15101545700209,5594.991307341492,3501.5981502388863,51.670480638225555,243.3308077088863,0.7217622379105009,456.31458379036656,123.14211016406311,10.497656812549542,400.306483467917,89.38103969579086,26.117422715112532,10872.819121334102,10741.170400730782,5111.75,2003
1,East Midlands,343.2005893783945,193.36211106842373,64.93258744148005,6913.712697920734,3871.472897277134,83.85064479008109,362.7339509765475,1.344249377516968,369.3338489730436,119.62529095461448,6.859069570278284,453.3721466498377,73.95647580252466,46.8416242768364,12711.236073389013,12561.397595079043,4348.610000000001,2003
1,West Midlands,309.08291962498214,179.11390883011362,49.977072316198054,6256.4235521387445,3243.053667696507,50.674649591108206,199.7408519884083,1.0371737181638312,487.98519081042605,106.26080256741896,5.783116272089517,437.5875804774092,72.45148167076545,75.94489497951042,11296.002953851736,11166.033943056866,5306.56,2003
1,East of England,304.6766176602486,183.30345918878925,75.46710169662396,6960.352751171405,3779.415201267799,56.85215601807135,253.51988451998764,8.84160985760694,277.9002323051855,100.62858215673978,117.21680577202046,885.6650520464995,94.34732288063455,14.317729119448353,12929.20104647226,12807.827888000811,5596.360000000001,2003
1,London,375.4167404996249,180.85554226694978,56.32428709328391,3299.917769982874,2083.559231715224,63.86855958355167,122.16030958551248,704.2578785319279,77.22023899206073,73.28276932180928,753.881462382217,1008.4474029337615,114.49634909581998,215.2395250079616,8948.07252472564,8753.511326492951,6795.81,2003
1,South East,339.489194078064,204.03120831276158,83.79653854559973,7266.784821793993,3878.9369317153396,90.54951396767156,293.20501887293017,7.9873496757494795,252.0256337453363,140.46911901082177,42.595256943002575,1000.5224838856163,92.31402616247576,61.06044365214416,13549.736332048747,13414.278346283449,7810.110000000001,2003
1,South West,335.0658847147706,184.10997996598314,65.7832113053762,7206.345301440859,4270.509054112838,79.62914742513652,268.75434994097526,0.5548139058558033,295.0163981122718,133.46676707894918,10.246922530254922,524.5175043257539,47.73228395109798,141.54858377297649,13379.170222617116,13228.214317868322,5398.33,2003
2,North East,351.68370316465365,192.03975822115436,29.334684283244062,4714.56846282536,2758.5955068791,46.56600385711415,247.26297109891084,0.3265947288053504,591.8750372172761,244.21793261338888,11.475910824421177,338.82169998736276,103.86264303490904,177.13778527468634,9615.728935789224,9456.084990845726,2870.63,2004
2,North West,343.9226961367025,203.75856751680305,58.17957642112166,5510.522487066474,3028.7478300317707,41.28631143851018,214.15773851556457,1.6946393795155337,406.1817760624095,174.49112092095453,3.403077839015294,440.8265420347936,104.1988458345606,78.93303651950883,10406.545678200906,10266.381549581014,7243.39,2004
2,Yorkshire and The Humber,319.6545747358469,188.4501199235954,51.66115941671337,5693.457211910109,3316.7588035896033,57.95650947746043,257.46349297210156,1.1490583190872952,449.175559726394,182.69514732067668,10.47419186213408,401.3862091240906,92.13817952476252,62.75364775071498,10896.723745729705,10765.519290917446,5496.54,2004
2,East Midlands,356.7364707063409,212.15473075091288,88.30405642966876,6883.027146973034,3719.5473599842585,103.90719642067366,360.4430032339639,1.0110194937845942,334.6385634790752,160.5495608077092,4.40543115191398,336.62971880146023,67.18985081671755,47.308815209274016,12463.698193507887,12319.116453552446,4432.33,2004
2,West Midlands,316.88448935366665,176.5811977619434,39.96323679846322,6160.97016371026,3275.8343046867685,31.548905987586135,208.21301507258028,1.3522828275222674,490.4005646465672,140.692195357134,10.73474547447766,539.1258478883232,68.61910023942814,104.15944899268159,11388.498301035459,11248.195009443729,5802.4400000000005,2004
