count_point_id,name,local_authority_name
521,Vale of Glamorgan,The Vale of Glamorgan
540,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
541,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
571,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
617,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
619,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
620,Rhondda Cynon Taf,"Rhondda, Cynon, Taff"
646,Vale of Glamorgan,The Vale of Glamorgan
722,Perth and Kinross,Perth & Kinross
724,Perth and Kinross,Perth & Kinross
740,Dumfries and Galloway,Dumfries & Galloway
764,Argyll and Bute,Argyll & Bute
788,Dumfries and Galloway,Dumfries & Galloway
792,Argyll and Bute,Argyll & Bute
1028,Dumfries and Galloway,Dumfries & Galloway
1034,Perth and Kinross,Perth & Kinross
1051,Perth and Kinross,Perth & Kinross
1054,Perth and Kinross,Perth & Kinross
1071,Dumfries and Galloway,Dumfries & Galloway
1072,Dumfries and Galloway,Dumfries & Galloway
1074,Dumfries and Galloway,Dumfries & Galloway
1075,Dumfries and Galloway,Dumfries & Galloway
1077,Dumfries and Galloway,Dumfries & Galloway
1078,Dumfries and Galloway,Dumfries & Galloway
1113,Argyll and Bute,Argyll & Bute
1114,Argyll and Bute,Argyll & Bute
1116,Perth and Kinross,Perth & Kinross
1117,Perth and Kinross,Perth & Kinross
1118,Perth and Kinross,Perth & Kinross
1128,Argyll and Bute,Argyll & Bute
1129,Argyll and Bute,Argyll & Bute
1130,Argyll and Bute,Argyll & Bute
1134,Na h-Eileanan Siar,Comhairle nan Eilean Siar
1135,Na h-Eileanan Siar,Comhairle nan Eilean Siar
1140,Na h-Eileanan Siar,Comhairle nan Eilean Siar
1141,Na h-Eileanan Siar,Comhairle nan Eilean Siar
1145,Argyll and Bute,Argyll & Bute
1167,Perth and Kinross,Perth & Kinross
6079,Central Bedfordshire,Bedfordshire
6147,Central Bedfordshire,Bedfordshire
6326,Cornwall,Cornwall excluding Isles of Scilly
6327,Cornwall,Cornwall excluding Isles of Scilly
6331,Cornwall,Cornwall excluding Isles of Scilly
6352,Cheshire East,Cheshire
6352,Cheshire East,East Cheshire
6413,Cornwall,Cornwall excluding Isles of Scilly
6420,Cornwall,Cornwall excluding Isles of Scilly
6441,Cheshire West and Chester,Cheshire
6441,Cheshire West and Chester,West Cheshire
6442,Cheshire West and Chester,Cheshire
6442,Cheshire West and Chester,West Cheshire
6514,Cheshire West and Chester,Cheshire
6514,Cheshire West and Chester,West Cheshire
