year,local_authority_name,sum_cycles,change_cycles,mean_cycles,n_cycles,cycling_2011,multiplier
2010,Aberdeen City,8004,0.8766734142950722,45.009753550543024,19,NA,0.7614413717521535
2010,Aberdeenshire,2523,1.037183895211082,10.633704557091654,31,NA,0.9897990045297482
2010,Angus,884,0.6121958092617314,8.578205128205129,13,NA,0.9747065702096828
2010,Argyll & Bute,748,0.741260681885682,12.99236111111111,8,NA,1.957638040196711
2010,Barking and Dagenham,8469,1.1900628921573597,82.71689814814815,12,NA,2.4271557847544023
2010,Barnet,20532,1.338766751148378,69.62505087505087,39,NA,1.5726414199057268
2010,Barnsley,5513,0.6800753389808197,21.00632183908046,29,NA,0.6357593322878579
2010,Bath and North East Somerset,16761,0.7549783289052415,89.98611111111111,32,NA,0.7463811802499385
2010,Bedford,10706,0.8344555539546579,69.54993386243386,24,NA,0.7041036813320133
2010,Bexley,8155,1.004834973247247,60.99769841269841,25,NA,1.1675893700140207
2010,Birmingham,51025,0.7358477191950026,49.52094421101774,136,NA,0.7805821631951712
2010,Blackburn with Darwen,1977,0.8317963215322645,13.76923076923077,13,NA,0.7977560973383316
2010,Blackpool,8826,0.825923202641268,69.87777777777778,14,NA,0.7449275426509882
2010,Blaenau Gwent,516,0.9968141577618702,7.559259259259259,9,NA,2.233542472732529
2010,Bolton,15291,0.9583661848434513,46.13037037037037,45,NA,0.801988419797571
2010,Bournemouth,20514,1.1884018547721233,160.40519323671498,23,NA,1.0109119858444444
2010,Bracknell Forest,6475,0.9639547572116938,36.4359126984127,24,NA,0.917449579630177
2010,Bradford,16863,0.8837847380591657,37.96764435242696,69,NA,0.9548402435423533
2010,Brent,25554,0.8452740361168747,173.74685185185186,30,NA,0.9636585782095382
2010,Bridgend,4464,0.8736085385394412,24.31186868686869,22,NA,0.6791553274138525
2010,Brighton and Hove,51797,0.9849150161375291,209.15354875283447,35,NA,1.0289302168373176
2010,"Bristol, City of",115922,0.8520977178957938,246.54481922398588,54,NA,0.9181777183233603
2010,Bromley,16056,1.0791821174314868,55.601136363636364,22,NA,1.3662758302137348
2010,Buckinghamshire,20172,0.974403164933982,36.311854588578726,87,NA,0.9540385552297008
2010,Bury,9795,0.9571764468867189,75.59274691358024,18,NA,0.9865592297697461
2010,Caerphilly,4053,0.8891379629550576,12.68695987654321,36,NA,1.23983120288336
2010,Calderdale,5107,0.8302149083768546,34.698232323232325,22,NA,0.9325010552948045
2010,Cambridgeshire,84122,0.9835397652142194,157.19372598162073,95,NA,0.7676399202523935
